Date,Close(CCI30 index)
2020/11/03,4504.53
2020/11/02,4643
2020/11/01,4643
2020/10/31,4612.08
2020/10/30,4614.52
2020/10/29,4648.99
2020/10/28,4692.52
2020/10/27,4816.23
2020/10/26,4763.98
2020/10/25,4823.79
2020/10/24,4884.78
2020/10/23,4809.44
2020/10/22,4821.59
2020/10/21,4694.96
2020/10/20,4445.95
2020/10/19,4552.19
2020/10/18,4533.84
2020/10/17,4475.61
2020/10/16,4453.27
2020/10/15,4594.76
2020/10/14,4610.68
2020/10/13,4655.13
2020/10/12,4698.15
2020/10/11,4629.29
2020/10/10,4559.3
2020/10/09,4504.17
2020/10/08,4391.01
2020/10/07,4303.97
2020/10/06,4265.47
2020/10/05,4414.23
2020/10/04,4388.5
2020/10/03,4317.37
2020/10/02,4311
2020/10/01,4407.87
2020/09/30,4482.03
2020/09/29,4478.04
2020/09/28,4412.88
2020/09/27,4443.38
2020/09/26,4414.92
2020/09/25,4367.6
2020/09/24,4300.34
2020/09/23,4036.38
2020/09/22,4231.6
2020/09/21,4162.45
2020/09/20,4469.51
2020/09/19,4601.47
2020/09/18,4574.77
2020/09/17,4601.88
2020/09/16,4517.95
2020/09/15,4502.6
2020/09/14,4607.12
2020/09/13,4512.68
2020/09/12,4637.43
2020/09/11,4570.96
2020/09/10,4516.03
2020/09/09,4439.28
2020/09/08,4359.49
2020/09/07,4447.86
2020/09/06,4417.73
2020/09/05,4252.07
2020/09/04,4589.95
2020/09/03,4469.22
2020/09/02,5130.65
2020/09/01,5462.37
2020/08/31,5232.72
2020/08/30,5238.74
2020/08/29,5115.39
2020/08/28,5001.52
2020/08/27,4850.84
2020/08/26,4989.32
2020/08/25,4943.93
2020/08/24,5198.57
2020/08/23,5120.75
2020/08/22,5114.91
2020/08/21,4958.46
2020/08/20,5231.61
2020/08/19,5085.43
2020/08/18,5284.92
2020/08/17,5420.43
2020/08/16,5383.93
2020/08/15,5299.53
2020/08/14,5204.06
2020/08/13,5197.81
2020/08/12,5048.36
2020/08/11,4855.46
2020/08/10,5091.74
2020/08/09,4989.48
2020/08/08,4957.58
2020/08/07,4812.94
2020/08/06,4919.04
2020/08/05,4883.77
2020/08/04,4762.16
2020/08/03,4736.89
2020/08/02,4575.73
2020/08/01,4842.04
2020/07/31,4537.57
2020/07/30,4436.12
2020/07/29,4370.56
2020/07/28,4345.34
2020/07/27,4292.04
2020/07/26,4133.77
2020/07/25,4112.18
2020/07/24,3936.05
2020/07/23,3980.76
2020/07/22,3936.49
2020/07/21,3840.21
2020/07/20,3731.4
2020/07/19,3817.79
2020/07/18,3801.04
2020/07/17,3789.65
2020/07/16,3778.79
2020/07/15,3840.12
2020/07/14,3836.14
2020/07/13,3801.2
2020/07/12,3832.6
2020/07/11,3797.44
2020/07/10,3756.88
2020/07/09,3794.35
2020/07/08,3849.55
2020/07/07,3674.66
2020/07/06,3666.15
2020/07/05,3469.61
2020/07/04,3475.05
2020/07/03,3414.66
2020/07/02,3441.57
2020/07/01,3466.96
2020/06/30,3416.27
2020/06/29,3442.88
2020/06/28,3400.2
2020/06/27,3358.34
2020/06/26,3462.42
2020/06/25,3498.72
2020/06/24,3515.74
2020/06/23,3630.41
2020/06/22,3603.38
2020/06/21,3473.42
2020/06/20,3485.38
2020/06/19,3460.41
2020/06/18,3520.1
2020/06/17,3548.6
2020/06/16,3537.03
2020/06/15,3508.91
2020/06/14,3521.9
2020/06/13,3589.25
2020/06/12,3578.96
2020/06/11,3499.48
2020/06/10,3769.8
2020/06/09,3755.64
2020/06/08,3744.3
2020/06/07,3744.36
2020/06/06,3718.34
2020/06/05,3720.84
2020/06/04,3748.09
2020/06/03,3705.93
2020/06/02,3619.14
2020/06/01,3763.58
2020/05/31,3543.84
2020/05/30,3658.46
2020/05/29,3471.72
2020/05/28,3466.95
2020/05/27,3352.38
2020/05/26,3264.03
2020/05/25,3299.06
2020/05/24,3241.78
2020/05/23,3362.43
2020/05/22,3363.76
2020/05/21,3266.44
2020/05/20,3415.66
2020/05/19,3454.54
2020/05/18,3454.54
2020/05/17,3388.15
2020/05/16,3325.4
2020/05/15,3289.27
2020/05/14,3381.92
2020/05/13,3306.71
2020/05/12,3202.23
2020/05/11,3122.58
2020/05/10,3174.53
2020/05/09,3490.92
2020/05/08,3535.47
2020/05/07,3497.47
2020/05/06,3359.6
2020/05/05,3352.27
2020/05/04,3362.31
2020/05/03,3377.35
2020/05/02,3451.38
2020/05/01,3396.62
2020/04/30,3304.78
2020/04/29,3435.94
2020/04/28,3174.48
2020/04/27,3133.48
2020/04/26,3120.23
2020/04/25,3083.89
2020/04/24,3049.39
2020/04/23,2976.44
2020/04/22,2888.55
2020/04/21,2776.43
2020/04/20,2770.77
2020/04/19,2900.23
2020/04/18,2958.72
2020/04/17,2840.49
2020/04/16,2840.86
2020/04/15,2638.86
2020/04/14,2717.38
2020/04/13,2716.03
2020/04/12,2773.3
2020/04/11,2727.28
2020/04/10,2723.74
2020/04/09,2940.46
2020/04/08,2941.22
2020/04/07,2815.6
2020/04/06,2853.7
2020/04/05,2600.31
2020/04/04,2627.45
2020/04/03,2583
2020/04/02,2572.25
2020/04/01,2510.69
2020/03/31,2471.86
2020/03/30,2458.75
2020/03/29,2296.99
2020/03/28,2410.65
2020/03/27,2471.71
2020/03/26,2553.5
2020/03/25,2494.17
2020/03/24,2530.5
2020/03/23,2435.91
2020/03/22,2243.18
2020/03/21,2403.43
2020/03/20,2389.03
2020/03/19,2422.09
2020/03/18,2051.21
2020/03/17,2026.14
2020/03/16,1951.11
2020/03/15,2139.07
2020/03/14,2075.86
2020/03/13,2206.71
2020/03/12,1938.49
2020/03/11,3146.82
2020/03/10,3209
2020/03/09,3200.35
2020/03/08,3241.15
2020/03/07,3702.78
2020/03/06,3835.69
2020/03/05,3767.36
2020/03/04,3656.64
2020/03/03,3666.35
2020/03/02,3701.27
2020/03/01,3519.21
2020/02/29,3543.44
2020/02/28,3583.26
2020/02/27,3618.6
2020/02/26,3574.12
2020/02/25,3898.19
2020/02/24,4124.1
2020/02/23,4314.81
2020/02/22,4152.52
2020/02/21,4188.24
2020/02/20,4129.49
2020/02/19,4156.77
2020/02/18,4433.18
2020/02/17,4250.03
2020/02/16,4309.12
2020/02/15,4402.01
2020/02/14,4760.54
2020/02/13,4605.62
2020/02/12,4635.09
2020/02/11,4440.69
2020/02/10,4259.89
2020/02/09,4310.03
2020/02/08,4157.82
2020/02/07,4110.12
2020/02/06,4058.13
2020/02/05,3993.97
2020/02/04,3758.46
2020/02/03,3771.96
2020/02/02,3753.08
2020/02/01,3720.15
2020/01/31,3672.4
2020/01/30,3759.74
2020/01/29,3635.02
2020/01/28,3624.74
2020/01/27,3493.36
2020/01/26,3368.15
2020/01/25,3235.92
2020/01/24,3275.96
2020/01/23,3267.98
2020/01/22,3439.1
2020/01/21,3450.72
